datetime,precipRate,precipTotal
2026-04-04 00:59:00,0.0,0.3
2026-04-04 01:03:00,0.0,0.0
2026-04-09 11:59:00,0.0,7.7
2026-04-09 12:59:00,0.0,7.7
2026-04-09 13:59:00,0.0,7.7
2026-04-09 14:59:00,0.0,7.7
2026-04-09 15:59:00,0.0,7.7
2026-04-09 16:59:00,0.0,7.7
2026-04-09 17:59:00,0.0,7.7
2026-04-09 18:59:00,0.0,7.7
2026-04-09 19:59:00,0.0,7.7
2026-04-09 20:59:00,0.0,7.7
2026-04-09 21:59:00,0.0,7.7
2026-04-09 22:59:00,0.0,7.7
2026-04-09 23:59:00,0.0,7.7
2026-04-10 00:59:00,1.8,8.71
2026-04-10 01:59:00,8.99,5.31
2026-04-10 02:59:00,4.8,8.1
2026-04-10 03:59:00,3.61,9.91
2026-04-10 04:59:00,1.8,10.59
2026-04-10 05:59:00,1.8,11.4
2026-04-10 06:58:00,1.8,11.4
2026-04-10 07:59:00,1.8,11.71
2026-04-10 08:59:00,0.0,11.71
2026-04-10 09:59:00,0.0,11.71
2026-04-10 10:59:00,0.0,11.71
2026-04-10 11:59:00,0.0,11.71
2026-04-10 12:59:00,0.0,11.71
2026-04-10 13:59:00,0.0,11.71
2026-04-10 14:59:00,0.0,11.71
2026-04-10 15:59:00,0.0,11.71
2026-04-10 16:59:00,0.0,11.71
2026-04-10 17:59:00,0.0,11.71
2026-04-10 18:59:00,0.0,11.71
2026-04-10 19:59:00,0.0,11.71
2026-04-10 20:54:00,0.0,11.71
